metodo,factor_escala,n_profesores,n_escuelas,n_cursos,semilla,fitness_total,fitness_por_curso,distancia_total,duracion_seg,violaciones_duras,violaciones_duras_por_curso,cursos_sin_senior,seniors_fuera_disponibilidad,seniors_en_conflicto,juniors_fuera_disponibilidad,juniors_en_conflicto,cursos_con_junior
random,16,256,64,352,1,88620.0,251.761,5300.0,19.9461,253,0.71875,0,220,33,96,14,179
genetico,16,256,64,352,2,34740.5,98.695,5460.5,32.8553,84,0.238636,0,27,57,52,31,211
greedy,16,256,64,352,2,69306.0,196.892,6666.0,0.1585,164,0.465909,0,0,164,0,192,288
random,16,256,64,352,2,87284.5,247.967,5224.5,19.7692,245,0.696023,0,206,39,110,12,182
genetico,16,256,64,352,3,35030.0,99.517,5310.0,33.3607,89,0.252841,0,32,57,47,23,199
greedy,16,256,64,352,3,69306.0,196.892,6666.0,0.1807,164,0.465909,0,0,164,0,192,288
random,16,256,64,352,3,87922.5,249.78,4982.5,20.2579,252,0.715909,0,220,32,93,12,158
genetico,16,256,64,352,4,35988.5,102.24,5448.5,32.504,90,0.255682,0,35,55,48,30,213
greedy,16,256,64,352,4,69306.0,196.892,6666.0,0.1794,164,0.465909,0,0,164,0,192,288
random,16,256,64,352,4,86699.0,246.304,5119.0,20.635,248,0.704545,0,224,24,92,16,181
genetico,16,256,64,352,5,33037.0,93.855,5537.0,32.7942,82,0.232955,0,21,61,48,21,200
greedy,16,256,64,352,5,69306.0,196.892,6666.0,0.1496,164,0.465909,0,0,164,0,192,288
random,16,256,64,352,5,86679.0,246.247,5159.0,20.5273,243,0.690341,0,210,33,108,12,169
genetico,16,256,64,352,6,33045.0,93.878,5205.0,32.7092,83,0.235795,0,24,59,48,20,193
greedy,16,256,64,352,6,69306.0,196.892,6666.0,0.2749,164,0.465909,0,0,164,0,192,288
random,16,256,64,352,6,85266.0,242.233,5066.0,20.1011,241,0.684659,0,211,30,101,10,160
genetico,16,256,64,352,7,35602.0,101.142,5122.0,35.7065,88,0.25,0,26,62,52,27,191
greedy,16,256,64,352,7,69306.0,196.892,6666.0,0.1719,164,0.465909,0,0,164,0,192,288
random,16,256,64,352,7,87202.0,247.733,5362.0,22.1863,245,0.696023,0,214,31,100,18,173
genetico,16,256,64,352,8,33732.0,95.83,5272.0,33.1062,85,0.241477,0,18,67,44,26,202
greedy,16,256,64,352,8,69306.0,196.892,6666.0,0.1426,164,0.465909,0,0,164,0,192,288
random,16,256,64,352,8,87218.0,247.778,5358.0,19.481,241,0.684659,0,204,37,115,15,172
genetico,16,256,64,352,9,35081.0,99.662,5301.0,35.1628,90,0.255682,0,20,70,40,27,196
greedy,16,256,64,352,9,69306.0,196.892,6666.0,0.1517,164,0.465909,0,0,164,0,192,288
random,16,256,64,352,9,86463.5,245.635,4963.5,21.063,250,0.710227,0,210,40,89,8,160
genetico,16,256,64,352,10,35289.5,100.254,5329.5,35.8849,84,0.238636,0,28,56,55,35,212
greedy,16,256,64,352,10,69306.0,196.892,6666.0,0.164,164,0.465909,0,0,164,0,192,288
random,16,256,64,352,10,88694.5,251.973,5254.5,21.6409,252,0.715909,0,216,36,100,12,168
genetico,32,512,128,704,1,84596.5,120.165,10896.5,100.1147,219,0.31108,0,64,155,96,69,425
greedy,32,512,128,704,1,142029.0,201.746,13349.0,0.6739,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,1,180251.5,256.039,10531.5,44.5888,506,0.71875,0,434,72,225,25,354
genetico,32,512,128,704,2,82758.0,117.554,10598.0,93.8443,210,0.298295,0,62,148,111,62,407
